Period,Class,MethodType,OverCollatDollar,OverCollatBids,OverCollatBidsPct,UnderCollatDollar,UnderCollatBids,UnderCollatBidsPct,EqualCollatBids,EqualCollatBidsPct
Winter_16,OFF,CreditRequiredStats05,-2430930.2917166096,578,0.5235507246376812,4986407.539615356,379,0.3432971014492754,138,0.125
Winter_16,OFF,CreditRequiredStats02,-2678261.1662219106,602,0.5452898550724637,4914229.532929661,372,0.33695652173913043,121,0.10960144927536232
Winter_16,ON,CreditRequired,-6305799.72222867,953,0.7410575427682737,3823640.4684138987,319,0.24805598755832037,0,0
Winter_16,ON,CreditRequiredStats05,-2757114.505933796,766,0.5956454121306376,4274438.972576135,367,0.2853810264385692,141,0.10964230171073094
Winter_16,ON,CreditRequiredStats02,-3266599.9390936894,802,0.6236391912908242,4194795.550709273,355,0.276049766718507,117,0.09097978227060653
Spring_17,OFF,CreditRequired,-3061436.6979746018,675,0.6790744466800804,3143714.7359578786,319,0.3209255533199195,0,0
Spring_17,OFF,CreditRequiredStats05,-1329625.9506103348,515,0.5181086519114688,4446984.929411606,421,0.42354124748490946,58,0.05835010060362173
Spring_17,OFF,CreditRequiredStats02,-1492540.8137142682,540,0.5432595573440644,4403447.106360433,404,0.40643863179074446,50,0.05030181086519115
Spring_17,ON,CreditRequired,-3179961.87251906,784,0.7114337568058077,3151151.514115367,318,0.2885662431941924,0,0
Spring_17,ON,CreditRequiredStats05,-1436595.235159506,625,0.5671506352087115,4030979.638559531,368,0.3339382940108893,109,0.09891107078039928
Spring_17,ON,CreditRequiredStats02,-1744624.4129841907,651,0.5907441016333939,4008817.8120372053,361,0.3275862068965517,90,0.08166969147005444
